X1,X2,X3,X4,X5,X6,X7,X8,Y
0.65,663.07,295.03,200.91,4.29,4.77,0.28,1.36,36.45
0.69,763.13,387.24,121.25,4.71,2.67,0.09,0.9,103.27
0.92,517.39,305.72,116.86,3.65,3.43,0,0.32,58.59
0.8,688,360.26,157.27,4.84,3.48,0.03,4.67,84.09
0.95,766.45,338.42,175.4,5.02,4.92,0.01,4.06,74.28
0.64,644.82,255.49,168.23,6.24,3.95,0,4.37,49.87
0.71,772.53,295.61,126.11,4.64,4.72,0.27,2.9,91.67
0.77,692.98,285.5,183.38,3.83,3.07,0.26,2.4,50.33
0.79,650.99,360.32,220.33,6.89,2.8,0.38,3.08,47.61
0.65,594.81,388.06,175.53,6.5,4.04,0.4,4.58,69.9
0.91,541.63,351.1,200.99,3.88,2.64,0.28,3.68,40.29
0.97,748.82,279.34,119.12,4.44,3.82,0.17,3.24,88.25
0.97,615.64,304.52,145.86,6.33,3.29,0.24,0.86,64.43
0.72,669.51,390.13,204.63,5.82,4.37,0.19,4.61,66.56
0.68,575.74,338.64,150.73,4.2,2.8,0.31,1.28,58.14
0.89,586.84,305.46,207.21,5.55,4.57,0.29,4.86,34.93
0.67,790.1,267.69,149.39,6.62,3.74,0.2,2.68,78.88
0.89,764.59,408.9,146.9,6.64,4.06,0.01,4.59,103.13
0.74,533.47,287.71,170.97,3.54,3.42,0.37,4.32,41.6
0.78,635.23,272.59,128.11,5.75,4.27,0.32,1.24,70.51
0.9,652.22,246.28,128.23,4.63,3.27,0.08,3.55,69.54
0.89,708.94,372.11,207.6,4.78,4.01,0.35,2.46,59.16
0.78,767.15,316.48,207.51,5.04,4.5,0.36,4.92,58
0.93,565.91,366.11,127.34,5.13,4.48,0.05,1.26,80.15
0.64,802.53,391.9,163.27,5.71,4.73,0.05,2.71,100.6
0.91,523.85,405.71,115.84,5.74,4.67,0.03,1.41,90.23
0.7,677.95,334.21,147.09,4.02,2.49,0.1,2.84,71.98
0.84,794.49,402.44,172.72,6.72,3.6,0.3,3.28,93.25
0.85,621.78,405.44,180.35,5.29,4.68,0.02,2.16,68.35
0.95,750.41,374.42,155.21,5.57,2.46,0.21,3.18,91.77
0.85,630.95,280.63,213.61,5.34,2.92,0.37,1.84,25.41
0.72,794.23,401.29,187.42,4.86,2.56,0.28,4.38,85.37
0.94,727.54,270.94,184.76,5.06,2.54,0.23,0.87,48.62
0.71,635.71,317.49,203.63,5.1,4.53,0.14,2.61,41.13
0.79,770.56,356.07,113.6,3.84,4.47,0.05,0.78,105.76
0.93,740.1,270.61,194.44,3.84,2.7,0.33,2.47,46.85
0.63,777.16,340.85,145.99,4.18,4.84,0.14,4.63,95.43
0.81,617.75,302.84,210.21,6.15,3.52,0.32,3.47,36.05
0.95,714.56,261.66,163.85,3.76,2.26,0.02,0.42,53.44
0.89,689.56,315.42,172.67,6.47,4.1,0.2,1.35,66.53
0.88,736.98,394.72,136.08,5.94,4.34,0.33,2.95,102.71
0.7,805.83,354.09,133.97,4.44,4.29,0.32,4.62,106.48
0.67,561.09,278.42,171.71,5.39,2.26,0.22,0.39,38.23
0.67,723.52,383.65,118.77,4.52,2.53,0.03,3.1,102.07
0.82,775.11,252.62,127.54,6.12,3.59,0.15,3.98,86.35
0.85,808.16,412.76,191.33,3.77,3.63,0.12,3.68,83.31
0.95,772.67,248.95,150.87,4.67,4.53,0.1,2.14,69.08
0.94,654.39,276.86,131.26,3.8,3.29,0.26,3.81,68.55
0.83,527.36,330.06,176.04,3.78,2.75,0.34,1.77,42.33
0.63,645.11,395.52,212.42,5.33,4.78,0.26,2.71,55.26
0.66,601.27,401.21,123.72,4.68,4.39,0.23,2.04,92.33
0.68,521.11,340.03,147.29,4.97,4.19,0.12,4.77,61.38
0.69,720.69,252.55,155.78,4.5,2.82,0.2,0.74,59.73
0.84,643.59,404.76,190.9,4.28,2.44,0.3,2.61,67.51
0.83,796.24,373.53,163.66,6.62,3.27,0.05,3.93,91.49
0.86,796.76,374.1,114.41,5.31,2.44,0.11,0.38,111.94
0.81,634.6,340.65,132.04,6.27,3.5,0.29,0.04,81.91
0.67,708.69,264.97,167,4.99,3.69,0.36,4.21,63.96
0.64,675.53,269.24,134.59,4.9,4.51,0.38,2.88,70.52
0.76,783.58,267.57,141.14,4.02,3.54,0.11,2.8,77.75
0.85,748.8,265.43,137.16,6.74,4.58,0.3,4.03,82.49
0.66,702.34,284.36,167.42,4.05,2.81,0.21,2.65,54.74
0.94,724.36,313.01,133.86,5.09,3.17,0.01,4.74,83.07
0.95,671.26,274.35,115.98,3.8,4.04,0.05,4.62,78.8
0.82,593.46,406.83,152.24,4.83,3.44,0.17,4.89,82.66
0.94,635.54,389.64,182.27,3.78,4.57,0.13,4.67,66.95
0.9,584.33,399.83,154.65,6.73,2.38,0.19,4.02,78
0.76,644.98,383.29,110.6,4.74,3,0.15,1.09,99.04
0.9,792.56,399.15,207.87,4.9,3.5,0.28,3.92,75.57
0.87,803.69,247.19,191.87,5.41,4.4,0.07,4.02,53.61
0.76,693.22,313.94,111.8,6.23,2.12,0.24,2.47,93.02
0.92,649.25,357.5,195.57,3.88,3.12,0.14,0.45,49.85
0.64,744.17,295.34,132.22,3.77,2.26,0.14,1.27,79.89
0.95,755.87,402.69,209.79,3.74,4.42,0.11,4.9,71.48
0.92,739.47,345.87,150.86,4.99,3.4,0.29,3.66,86.23
0.69,601.34,369.34,145.58,4.36,2.55,0.3,4.99,76.01
0.7,717.69,249.16,174.06,5.87,2.41,0.13,0.53,51.21
0.8,536.58,308.22,217.6,5.89,4.83,0.27,4.87,26.95
0.64,794.05,348.23,162.73,6.11,3.58,0.2,4.87,90.07
0.89,534.48,334.54,157.31,6.06,4.6,0.33,3.32,58.82
0.8,573.58,329.34,144.26,6.98,3.94,0.2,0.94,66.26
0.95,608.37,370.03,159.71,4.01,3.52,0.24,4.71,72.16
0.89,760.62,386.71,112.79,6.58,4.84,0.31,3.01,118.71
0.69,770.16,391.09,134.02,5.49,3,0.26,2.07,106.52
0.98,538.58,350.61,208.67,5.38,2.71,0.22,3.27,32.66
0.64,547.23,328.06,136.09,6.95,4.69,0.05,4.03,72.45
0.7,743.5,318.15,183.66,3.92,2.97,0.36,3.65,63.66
0.96,755.5,255.85,210.43,5.39,3.67,0.02,2.83,39.4
0.78,755.49,307.86,117.47,5.41,3.26,0.14,2.47,94.72
0.74,715.54,316.79,134.21,5.62,3.27,0.24,0.92,84.53
0.81,524.98,359.16,159.08,3.97,4.67,0.33,2.53,58.69
0.78,538.95,381.11,147.49,4.15,4.72,0.28,0.29,67.82
0.88,593.98,400.86,136.29,3.7,3.54,0.13,4.97,82.79
0.73,608.52,400.91,126.42,5.12,3.72,0.36,1.09,92.01
0.82,802.84,277.15,215.63,5.07,4.49,0.03,3.43,46.21
0.85,554.01,265.15,180.34,5.52,2.49,0.21,3.21,32.44
0.84,736.46,319.9,120.69,4.66,3.45,0.21,0.99,94.53
0.95,642.94,300.16,153,6.94,3.44,0.25,4.05,66.81
0.72,641.7,313.47,139.23,3.61,2.15,0.37,3.36,70.42
0.82,524.3,379.62,209.26,6.28,3.55,0.3,0.45,35.71
0.9,554.14,269.5,154.69,4.37,2.66,0.26,1.24,44.42
0.8,776.04,320.8,131.97,5.46,3.37,0.03,0.34,90.68
0.63,631.48,346.2,116.5,5.18,4.9,0.4,2.27,90.15
0.76,795.19,258.39,125.26,5.02,3.93,0.06,3.79,86.59
0.66,794.42,284.57,204.68,5.06,4.4,0.32,3.16,51.4
0.77,759.1,373.92,113.57,3.5,2.76,0.26,0.66,110.05
0.82,584.79,269.34,116.18,6.92,4.53,0.28,1.62,72.93
0.85,706,372.02,174.15,4.71,2.16,0.08,4.1,73.96
0.94,674.97,265.06,123.34,5.85,4.22,0.31,0.27,77.71
0.64,693.19,256.78,118.71,4.18,2.2,0.21,4.54,75.86
0.89,691.91,379.11,211.39,4.71,2.21,0.25,4.04,56.4
0.92,767.97,301.73,143.31,4.2,2.71,0.33,3.15,83.96
0.82,645.78,297.08,128.99,5.5,3.67,0.05,2.24,74.01
0.83,596.77,315.69,194.21,4.81,4.59,0.3,4.58,46.43
0.64,654.77,351.45,114.05,4.4,2.4,0.37,2.47,92.67
0.68,550.48,301.05,116.3,6.7,4.59,0.39,0.82,71.64
0.79,685.4,409.48,140.91,5.04,4.91,0.19,3.66,104.46
0.7,760.2,310.14,175.25,4.7,4.2,0.19,2.81,67.74
0.73,710.37,414.17,116.21,3.68,3.56,0.03,0.61,107.46
0.62,645.41,332.18,218.94,5.79,3.23,0.02,4.49,40.66
0.89,665.61,399.88,141.37,6.82,3.49,0.38,0.24,93.15
0.67,802.05,358.76,184.85,3.64,3.4,0.08,1.28,74.02
0.94,680,361.29,137.28,6.72,3.92,0.09,4.94,94.6
0.64,796.85,383.91,148.54,5.7,3.99,0.33,2.57,101.28
0.93,790.92,353.94,173.3,4.01,3.2,0.1,0.33,75.74
0.76,580.86,323.23,122.48,4.12,3.51,0.08,2.45,67.14
0.71,651.44,334.1,209.35,5.97,2.12,0.34,1.89,40
0.84,793.32,327.99,207.8,3.78,3.44,0.17,4.24,58.64
0.68,602.04,253.39,164.91,3.68,3.05,0.15,3.87,42.63
0.9,596.19,319.39,196.74,6.48,2.18,0.38,3.36,38.48
0.89,543.38,269.75,129.91,6.07,4,0.28,0.23,54.68
0.98,733.99,407.07,178.24,6.36,2.24,0.2,1.82,83.05
0.83,671.88,352.29,183.26,3.92,2.04,0.08,2.06,56.76
0.8,562.91,401.1,185.74,4.71,4.88,0.31,4.16,62.37
0.78,551.25,261.7,204.42,5.8,2.18,0.14,4.32,18.49
0.71,555.23,317.49,211.93,4.94,4.8,0.09,0.81,25.93
0.97,637.14,245.41,204.79,3.51,2.12,0.21,2.78,22.41
0.76,563.22,371.98,206.57,5.97,4.62,0.04,0.78,42.55
0.78,758.9,304.45,150.2,5.94,3.72,0.11,4.44,83.64
0.86,792.18,313.71,131.09,5.14,3.67,0.24,3.8,95
0.94,728.76,363.53,169.38,5.62,3.61,0.35,0.93,78.71
0.93,553.55,341.01,183.16,5.72,2.72,0.09,1.74,43.98
0.71,651.74,332.83,169.05,5.23,3.77,0.13,3.56,58.44
0.97,709,249.72,172.68,4.74,4.35,0.25,2.29,49.79
0.7,548.99,295.61,119.41,6.74,4.44,0.02,1.01,67.94
0.82,787.97,278.84,205.51,6.83,3.96,0.34,2.87,52.36
0.63,773.4,327.82,125.2,5.41,3.57,0.14,1.91,97.39
0.74,667.91,382.56,159.34,4.05,2.19,0.15,1.35,71.6
0.65,626.91,375.07,200.5,3.97,4.46,0.06,3.5,49.91
0.88,586.85,291.56,188.58,3.66,2.45,0.07,1.25,34.48
0.85,566.29,276.25,188.69,6.44,2.98,0.07,1.78,31.91
0.76,728.71,278.85,214.71,3.75,2.98,0.1,3.85,38.99
0.78,640.39,263.39,171.27,6.78,2.6,0.19,2.63,49.89
0.95,533.9,366.51,161.17,6.03,2.63,0.07,3.27,58.73
0.93,626.26,294.84,141.83,4.21,3.52,0.08,0.9,60.64
0.77,574.26,404.52,133.95,3.77,4.6,0.14,2.12,86.58
0.68,734.42,272.37,135.78,5.17,2.22,0.3,4.83,78.12
0.85,582,280.13,112.9,4.54,4.06,0.24,4.26,78.01
0.62,558.75,373.89,207.67,6.12,3.22,0.18,3.74,42.86
0.72,795.5,389.56,113.9,3.65,2.5,0.02,2.83,117.59
0.69,685.52,311.52,170.08,5.78,4.78,0.25,2.53,68.37
0.75,804.33,245.58,188.22,5.09,3.74,0.28,2.2,56.29
0.79,544.39,406.98,123.63,3.91,4.94,0.08,2.44,89.18
0.78,618.83,396.88,173.18,5.61,4.73,0.13,4.76,75.13
0.71,761.08,367.92,200.72,6.99,4.51,0.4,1.17,72.33
0.89,791.87,412.26,194.53,5.39,4.67,0.29,3.49,86.31
0.71,557.85,271.75,112.62,6.18,4.96,0.34,4.15,74.29
0.69,628.24,332,184.86,6.51,2.74,0.1,1.49,51.68
0.98,692.24,250.75,112.46,4.16,4.25,0.02,4.8,81.06
0.67,616.48,357.19,172.19,4.57,3.96,0.25,1.59,58.42
0.92,583.89,415.25,150.65,6.46,4.88,0.36,1.95,81.55
0.85,666.97,310.25,208.4,5.37,3.48,0.22,0.24,41.2
0.69,566.44,347.2,195.07,5.1,3.81,0.2,0.39,39.03
0.77,667.62,248.55,117.92,6.75,4.05,0.35,1.03,73.75
0.69,578.69,385.6,195.97,5.46,4.98,0.1,3.65,54.02
0.94,608.47,276.46,160.78,4.19,2.02,0.13,0.4,44.11
0.64,779.19,361.84,144.85,6.93,3.21,0.09,2.56,91.92
0.65,593.38,259.13,220.47,6.19,4.67,0.13,3.97,15.1
0.77,698.76,261.53,204.29,7,3.86,0.12,4.99,42.44
0.8,737.8,321.98,187.56,4.3,2.11,0.11,0.97,56.68
0.98,590.07,315.12,172.61,6.26,2.78,0.34,3.3,55.75
0.87,516.54,412.89,185.32,4.57,3.5,0.33,2.02,52.96
0.97,550.04,273.91,183.1,6.97,3.82,0.28,3.49,33.97
0.69,765.92,293.81,110.96,5.79,4.31,0.18,1.46,96.65
0.72,652.32,346.67,198.1,4.13,3.62,0.37,3.77,53.82
0.77,547.29,404.65,208.61,5.5,3.64,0.17,2.49,47.39
0.91,522.94,412.23,219.16,4.91,3.08,0.07,0.84,37.35
0.85,653.04,351.1,161.72,6.01,3.02,0.31,0.07,67.94
0.79,761.1,389.96,173.61,5.21,4.56,0.06,4.16,88.78
0.84,631.92,390.8,189.77,5.02,4.99,0.28,4.64,66.86
0.75,705.97,355.03,121.89,3.84,3.56,0.13,3.86,97
0.75,667.77,326.07,216.17,6.3,3.49,0.18,2.71,36.58
0.77,792.93,278.77,204.17,6.76,4.86,0.11,1.9,52.47
0.83,774.46,275.04,195.2,5.88,3.39,0.38,3.34,52.99
0.91,670.66,251.97,156.3,3.94,3.82,0.19,2.04,54.42
0.79,675.5,361.81,141.12,4.82,2.82,0.28,1.03,83.77
0.85,719.18,390.47,137.19,6.8,2.46,0.26,0.96,97.67
0.85,703.12,329.49,126.08,5.42,4.55,0.07,4.46,90.5
0.65,555.23,401.4,175.67,6.92,3.56,0.02,0.57,63.41
0.64,806.27,311.8,140.15,6.92,4.23,0.05,3.25,94.24
0.78,525.7,343.35,153.87,5.24,4.67,0.02,4.69,58.26
0.67,674.78,324.51,190.88,4.49,3.87,0.11,1.6,51.63
0.88,702.72,408.45,211.82,3.96,2.58,0.36,1.64,59.65
0.66,774.41,245.62,208.29,3.99,3.02,0.28,1.59,36.73
0.8,767.33,389.4,183.1,4.01,3.48,0.11,1.55,78.77
0.73,627.05,264.42,171.06,6.72,3.06,0.17,0.61,47.38
0.9,527.5,281.92,212.75,6.25,4.5,0.19,1.32,15.1
0.75,673.85,401.27,148.89,6.47,2.29,0.15,1.82,90.45
0.81,693.81,402.47,191.1,4.08,4.8,0.06,1.29,68.51
0.71,721.78,346.8,112.34,4.66,4.5,0.15,2.26,103.91
0.94,624.01,345.4,118.23,5.69,4.55,0.31,3.83,92.42
0.68,636.42,349.86,209.54,3.67,2.83,0.36,0.68,39.63
0.85,642.76,252.68,141.5,4.44,3.79,0.11,1.46,55.11
0.89,763.69,411.86,136.11,4.38,2.21,0.11,0.73,107.26
0.97,561.39,326.39,145.1,6.26,3.97,0.34,3.84,64.31
0.71,733.31,340.48,182.3,3.76,3.81,0.28,2.61,67.82
0.82,592.58,348.37,127.75,6.11,4.21,0.03,2.26,81.11
0.9,529.3,375.62,120.65,5.82,3.48,0.14,3.84,81.17
0.74,798.06,302.21,180,4.37,2.21,0.1,1.68,63.04
0.87,795.77,374.01,215.44,5.19,2.84,0.3,4.04,69.62
0.65,754.28,372.76,119.97,5.62,3.85,0.24,1.97,108.71
0.64,609.57,276.97,211.11,6.12,2.57,0.15,2.13,24.99
0.83,519.03,353.88,194.58,6.66,3.48,0.36,4.7,41.8
0.74,599.4,273.4,219.08,6.03,2.89,0.33,1.59,18.3
0.8,711.33,366.11,214.29,4.24,4.98,0.14,0.13,51.39
0.69,796.25,285.2,210.79,5.14,3.11,0.24,3.51,49.29
0.67,595.57,372.87,114.51,5.04,4.99,0.06,3.9,93.16
0.96,653.81,261.21,215.63,6.37,4.75,0.38,2.34,30.2
0.88,543.11,414.4,146.5,6.43,4.91,0.11,4.55,83.66
0.78,562.02,304.02,198.89,3.58,3.83,0.2,1.13,26.03
0.83,668.41,399.71,188.38,6.7,2.86,0.1,2.06,70.96
0.85,538.92,294.55,201.15,6.14,2.64,0.2,3.38,29.87
0.82,739.44,378.7,195.61,5.24,2.58,0.16,1.73,65.47
0.97,589.2,272.02,163.2,5.68,3.18,0.08,1.01,45.87
0.73,683.51,263.73,119.36,7,2.69,0.2,0.92,74.18
0.63,708.24,289.87,209.51,4.71,2,0.29,2.24,36.27
0.73,592.49,285.66,150.19,6.2,2.71,0.11,0.35,53.85
0.95,650.75,393.88,175.65,6.41,4.85,0.02,0.01,70.25
0.93,660.73,275.81,175.67,6.38,4.29,0.39,0.04,49.32
0.84,674.09,412.5,157.93,4.11,2.14,0.35,2.83,82.94
0.87,721.06,256.71,215.75,5.25,3.45,0.25,1.95,31.07
0.65,609.43,332.55,209.37,5.63,3.96,0.25,3.98,39.64
0.74,663.25,260.55,219.71,5.77,2.89,0.35,1.75,25.5
0.82,686.06,276.04,165.61,4.61,4.97,0.3,2.26,56.58
0.95,670.16,361.58,131.43,4.97,2.84,0.36,4.6,92.63
0.85,752.21,247.47,172.48,6.64,2.14,0.32,4.12,57.43
0.75,775.5,398.29,176.08,5.05,4.21,0.3,0.33,87.37
0.79,592.98,275.58,128.53,3.67,3.16,0.21,1.06,60.81
0.79,693.24,272.75,174.04,4.07,3.65,0.04,4.73,55.61
0.69,775.75,373.36,215.59,6.56,2.07,0.1,3.89,65.32
0.71,553.15,248.74,190.42,5.57,3.56,0.29,3.01,28.49
0.63,587.11,267.76,191.17,6.3,2.72,0.1,0.4,27.35
0.92,785.52,281.7,162.96,5.53,4.17,0.26,4.69,75.03
0.96,807.98,297.46,159.22,5.82,3.26,0.39,4.37,85.75
0.9,530.96,276.53,188.73,4.49,3.32,0.16,1.17,19.74
0.89,667.95,333.79,185.05,5.99,3.42,0.3,1.97,53.48
0.83,563.98,330.02,133.75,6.76,2.4,0.02,3.2,69.9
0.68,806.44,311.75,163.96,5.67,4.13,0.14,3.9,81.5
0.76,578.53,352.99,175.16,5.67,2.4,0.08,3.89,52.36
0.98,765.8,400.86,122.81,5.6,4.74,0.05,3.7,120.67
0.8,722.09,303.95,162.54,3.62,2.89,0.18,3.06,69.73
0.82,591.3,277.17,197.27,6.17,2.21,0.29,0.51,30
0.91,679.13,290.97,195.47,5.38,2.06,0.3,3.87,45.76
0.83,713.28,292.7,154.54,5.29,4.57,0.23,4.95,76.1
0.64,775.04,339.89,128.59,6.5,3.24,0.01,3.42,103.01
